Source IP;Destination IP;Source port;Destination port;Handshake type;Handshake version;Handshake ciphersuite;Handshake extensions;Handshake SNI;Handshake supported EC;Handshake EC type
13.32.6.19;192.168.10.160;443;58426;2;0x00000303;49199;0,11,65281,16,5,35;;;0
192.168.10.160;2.23.9.116;58429;443;1;0x00000303;49195,49196,52393,49199,49200,52392,49171,49172,156,157,47,53;65281,0,23,35,13,5,16,11,10;en.zalando.de;0x0000001d,0x00000017,0x00000018;0
2.23.9.116;192.168.10.160;443;58429;2;0x00000303;49196;65281,0,11,35,5,16;;;0,1,2
192.168.10.160;172.217.23.202;58431;443;1;0x00000303;4865,4866,4867,49195,49196,52393,49199,49200,52392,49161,49162,49171,49172,156,157,47,53;0,23,65281,10,11,5,13,51,45,43,21;www.googleapis.com;0x0000001d,0x00000017,0x00000018;0
172.217.23.202;192.168.10.160;443;58431;2;0x00000303;4865;51,43;;;
192.168.10.160;185.151.204.10;58432;443;1;0x00000303;49195,49196,52393,49199,49200,52392,49161,49162,49171,49172,156,157,47,53;65281,0,23,35,13,5,16,11,10;app.adjust.com;0x0000001d,0x00000017,0x00000018;0
192.168.10.160;185.151.204.10;58433;443;1;0x00000303;49195,49196,52393,49199,49200,52392,49161,49162,49171,49172,156,157,47,53;65281,0,23,35,13,5,16,11,10;app.adjust.com;0x0000001d,0x00000017,0x00000018;0
185.151.204.10;192.168.10.160;443;58432;2;0x00000303;49200;65281,0,11,35,23;;;0,1,2
185.151.204.10;192.168.10.160;443;58433;2;0x00000303;49200;65281,0,11,35,23;;;0,1,2
192.168.10.160;2.23.9.116;58434;443;1;0x00000303;49195,49196,52393,49199,49200,52392,49171,49172,156,157,47,53;65281,0,23,35,13,5,16,11,10;www.zalando.co.uk;0x0000001d,0x00000017,0x00000018;0
2.23.9.116;192.168.10.160;443;58434;2;0x00000303;49196;65281,0,11,35,5,16;;;0,1,2
192.168.10.160;185.151.204.10;58436;443;1;0x00000303;49195,49196,52393,49199,49200,52392,49161,49162,49171,49172,156,157,47,53;65281,0,23,35,13,5,16,11,10,21;app.adjust.com;0x0000001d,0x00000017,0x00000018;0
185.151.204.10;192.168.10.160;443;58436;2;0x00000303;49200;65281,0,11,35,23;;;0,1,2
